42.72905711868237,-8.93105541844468,Iroite
42.01850114710226,-8.862854310416093,Oia
41.972960727032984,-8.57818807308551,Cerdal
42.52199063960141,-8.371996473903904,Cerdedo
42.13370816756725,-8.413337729561233,Sanomedio
42.62260518005668,-7.891296198825752,Faro Este
42.63958605763502,-7.892782108371276,Faro Oeste
42.57975944190641,-7.144216576552217,Pía Páxaro
42.57975944190641,-7.144216576552217,Oribio
42.472329,-7.230530,Quiroga
42.3143086068421,-7.611492488151815,Rodicio
41.87979165479655,-7.720959217928548,Larouco Sur
41.91606788529623,-7.714377487134694,Larouco Norte
41.91090629589648,-7.678773494459933,Larouco Xironda
43.465350,-7.866470,As Pontes
43.435078,-7.332442,Mondoñedo
43.480658,-8.317847,Monte Ventoso
41.658070,-8.358992,Caldelas
41.729820,-8.386233,Gomide
41.729287,-7.645552,Leiranco
42.41253266,-8.8650235,Relleno
42.63169509,-8.6989312,Xiabre
43.527219, -7.170281, Comado
43.759972, -7.871222, Faroleiro
43.551194, -8.254297, Ponzos
42.355401, -8.746295, Loira
41.944237, -8.87726, San Xian
43.288625, -8.717590, Razo
